company_id,fiscal_year,title,title_zh,release_date,release_date_precision,release_event,release_scope,platform,annotation_ko,source_type,source_url
century_huatong,2022,Qing Yu Nian Mobile,庆余年,2022-03,month,commercial_launch,China,Mobile,2022년 3월 출시. 첫날 iOS 무료 1위·매출 7위를 기록한 성취게임의 대표 신작.,official_annual_report,https://static.cninfo.com.cn/finalpage/2023-05-30/1216935607.PDF
century_huatong,2023,Dragon Nest 2: Evolution,龙之谷2：进化,2023,year,global_launch,Global,Mobile,드래곤네스트 IP의 글로벌 신작. 연차보고서 기준 글로벌 다운로드 100만 건을 돌파.,official_annual_report,https://static.cninfo.com.cn/finalpage/2024-04-30/1219923252.PDF
century_huatong,2024,Whiteout Survival China,无尽冬日,2024,year,regional_launch,China,Mobile,Whiteout Survival의 중국판. 2024년 국내외 SLG 성장과 이익 회복을 해석할 핵심 제품 이벤트.,official_annual_report,https://static.cninfo.com.cn/finalpage/2025-04-29/1223382771.PDF
century_huatong,2025,Kingshot,Kingshot,2025,year,global_launch,Global,Mobile,2025년 신규 글로벌 흥행작. Whiteout Survival과 함께 매출·이익 급증을 설명하는 핵심 주석.,official_annual_report,https://static.cninfo.com.cn/finalpage/2026-04-30/1225261914.PDF
perfect_world_cn,2022,Tower of Fantasy,幻塔,2022-08-11,day,regional_launch,Global ex-China,PC/Mobile,해외 정식 출시 후 다수 국가 iOS 무료 1위를 기록한 글로벌 확장 이벤트.,official_company_news,https://www.pwrd.com/cn/news/press/p2022/20221208/85597.shtml
perfect_world_cn,2023,Demi-Gods and Semi-Devils 2,天龙八部2：飞龙战天,2023-04-14,day,public_beta,China,Mobile,"2023년 상반기 공측 신작. 초기 마케팅비는 즉시 비용, 일부 충전매출은 이연된다고 회사가 설명.",official_company_news,https://www.pwrd.com/cn/news/press/p2023/20231024/86510.shtml
perfect_world_cn,2024,World of Jade Dynasty,诛仙世界,2024-12-19,day,commercial_launch,China,PC,연말 정식 출시. 첫 30일 매출 4억 위안을 넘겨 2025년 실적 기저를 만든 PC MMORPG.,official_company_news,https://www.pwrd.com/cn/news/press/p2025/20250122/87783.shtml
perfect_world_cn,2025,Jade Dynasty 2,诛仙2,2025-08,month,public_beta,China,PC/Mobile,"2025년 8월 국내 공측, 첫날 iOS 무료 1위. 흑자 전환기의 대표 신작.",official_company_news,https://www.pwrd.com/cn/news/press/p2026/20260428/88831.shtml
kingnet,2022,Angel Fight,天使之战,2022-01,month,commercial_launch,China,Mobile,2022년 1월 자가개발·자가퍼블리싱 출시작으로 회사 연혁상 누적 매출 10억 위안을 돌파.,official_company_history,https://www.kingnet.com/about/company
kingnet,2023,Stone Age: Awakening,石器时代：觉醒,2023-10,month,commercial_launch,China,Mobile,카이잉 개발·텐센트 퍼블리싱의 회귀형 MMO. 2023년 10월 출시.,official_company_history,https://www.kingnet.com/about/company
kingnet,2024,The Legend of Sword and Fairy: A New Beginning,仙剑奇侠传：新的开始,2024-01,month,commercial_launch,China,Mobile/Mini-game,2024년 전 플랫폼 출시 후 장기운영 라인업에 편입된 선검기협전 IP 작품.,official_annual_report,https://static.cninfo.com.cn/finalpage/2025-04-26/1223305372.PDF
kingnet,2025,Dragon Nest World,龙之谷世界,2025-02,month,public_beta,China,Mobile,성취게임과 공동 발행한 2025년 2월 공측작. 회사 장기운영 제품군의 신규 축.,official_annual_report,https://static.cninfo.com.cn/finalpage/2026-04-29/1225225838.PDF
gbits,2022,Obi Island: Dreamland,奥比岛：梦想国度,2022-07,month,commercial_launch,China,Mobile,2022년 7월 출시 후 App Store 게임 매출 최고 6위를 기록한 대표 퍼블리싱작.,official_company_news,https://www.g-bits.com/zh/news/569.html
gbits,2023,Flying Dragon Knight,飞吧龙骑士,2023-08-11,day,public_beta,China,Mobile,2023년 8월 11일 공측한 탄막·로그라이크 결합 신작.,official_company_news,https://www.g-bits.com/zh/news/969.html
gbits,2024,Outpost: Infinity Siege,重装前哨,2024-Q1,quarter,commercial_launch,Global,PC/Steam,자가개발 PC 슈팅 신작의 Steam 국제판 출시. 모바일 중심 포트폴리오의 플랫폼 확장 사례.,official_company_news,https://www.g-bits.com/zh/news/994.html
gbits,2025,杖剑传说,杖剑传说,2025-05-29,day,commercial_launch,China,Mobile,"2025년 5월 29일 중국 출시, App Store 게임 매출 최고 10위. 신작 주도 성장의 핵심.",official_company_news,https://www.g-bits.com/zh/news/1029.html
